0.66	99.86	184.74		214.06	323.36		446.26	526.54		786.16	600.02		699.28	407.22		618.34	100.7		636.1	261.42		592.42	499.08		169.48	148.62		136.98	181.06	
0.67	99.07	186.63		211.97	322.82		444.37	526.73		785.87	600.99		698.86	408.39		620.83	100.65		634.95	259.29		594.79	501.46		171.26	147.69		138.01	178.97	
0.68	98.28	188.52		209.88	322.28		442.48	526.92		785.58	601.96		698.44	409.56		623.32	100.6		633.8	257.16		597.16	503.84		173.04	146.76		139.04	176.88	
0.69	97.49	190.41		207.79	321.74		440.59	527.11		785.29	602.93		698.02	410.73		625.81	100.55		632.65	255.03		599.53	506.22		174.82	145.83		140.07	174.79	
0.7	96.7	192.3		205.7	321.2		438.7	527.3		785	603.9		697.6	411.9		628.3	100.5		631.5	252.9		601.9	508.6		176.6	144.9		141.1	172.7	
0.71	95.91	194.19		203.61	320.66		436.81	527.49		784.71	604.87		697.18	413.07		630.79	100.45		630.35	250.77		604.27	510.98		178.38	143.97		142.13	170.61	
0.72	95.12	196.08		201.52	320.12		434.92	527.68		784.42	605.84		696.76	414.24		633.28	100.4		629.2	248.64		606.64	513.36		180.16	143.04		143.16	168.52	
0.73	94.33	197.97		199.43	319.58		433.03	527.87		784.13	606.81		696.34	415.41		635.77	100.35		628.05	246.51		609.01	515.74		181.94	142.11		144.19	166.43	
0.74	93.54	199.86		197.34	319.04		431.14	528.06		783.84	607.78		695.92	416.58		638.26	100.3		626.9	244.38		611.38	518.12		183.72	141.18		145.22	164.34	
0.75	92.75	201.75		195.25	318.5		429.25	528.25		783.55	608.75		695.5	417.75		640.75	100.25		625.75	242.25		613.75	520.5		185.5	140.25		146.25	162.25	
0.76	91.96	203.64		193.16	317.96		427.36	528.44		783.26	609.72		695.08	418.92		643.24	100.2		624.6	240.12		616.12	522.88		187.28	139.32		147.28	160.16	
0.77	91.17	205.53		191.07	317.42		425.47	528.63		782.97	610.69		694.66	420.09		645.73	100.15		623.45	237.99		618.49	525.26		189.06	138.39		148.31	158.07	
0.78	90.38	207.42		188.98	316.88		423.58	528.82		782.68	611.66		694.24	421.26		648.22	100.1		622.3	235.86		620.86	527.64		190.84	137.46		149.34	155.98	
0.79	89.59	209.31		186.89	316.34		421.69	529.01		782.39	612.63		693.82	422.43		650.71	100.05		621.15	233.73		623.23	530.02		192.62	136.53		150.37	153.89	
0.8	88.8	211.2		184.8	315.8		419.8	529.2		782.1	613.6		693.4	423.6		653.2	100		620	231.6		625.6	532.4		194.4	135.6		151.4	151.8	
0.81	88.01	213.09		182.71	315.26		417.91	529.39		781.81	614.57		692.98	424.77		655.69	99.95		618.85	229.47		627.97	534.78		196.18	134.67		152.43	149.71	
0.82	87.22	214.98		180.62	314.72		416.02	529.58		781.52	615.54		692.56	425.94		658.18	99.9		617.7	227.34		630.34	537.16		197.96	133.74		153.46	147.62	
0.83	86.43	216.87		178.53	314.18		414.13	529.77		781.23	616.51		692.14	427.11		660.67	99.85		616.55	225.21		632.71	539.54		199.74	132.81		154.49	145.53	
0.84	85.64	218.76		176.44	313.64		412.24	529.96		780.94	617.48		691.72	428.28		663.16	99.8		615.4	223.08		635.08	541.92		201.52	131.88		155.52	143.44	
0.85	84.85	220.65		174.35	313.1		410.35	530.15		780.65	618.45		691.3	429.45		665.65	99.75		614.25	220.95		637.45	544.3		203.3	130.95		156.55	141.35	
0.86	84.06	222.54		172.26	312.56		408.46	530.34		780.36	619.42		690.88	430.62		668.14	99.7		613.1	218.82		639.82	546.68		205.08	130.02		157.58	139.26	
